,x
1,0
2,0
3,0.25
4,0
5,0
6,-0.75
7,-0.4
8,0
9,0
10,0
11,-0.6
12,0.4
13,0
14,0
15,0
16,1.6
17,0
18,0.25
19,0
20,0
21,-0.75
22,0
23,0
24,0
25,1.55
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,-0.75
34,0
35,0
36,0
37,0
38,-0.75
39,0
40,0
41,-1
42,0.25
43,0
44,0
45,0
46,0
47,0
48,0
49,0.75
50,0
51,0
52,0
53,-0.25
54,0
55,0
56,-0.65
57,0
58,0
59,0
60,0
61,1.2
62,0
63,-0.5
64,0
65,-0.5
66,-0.5
67,-1
68,0
69,0
70,0
71,0
72,1.55
73,-1
74,0
75,0
76,0
77,0.5
78,0.4
79,-1
80,-0.75
81,0
82,1.35
83,0
84,0
85,0
86,0
87,0
88,0
89,-0.5
90,0.6
91,0
92,0
93,0
94,-1.75
95,0
96,0
97,0
98,0
99,1.3
100,0
101,0
102,1.3
103,0
104,0.4
105,-0.25
106,0.5
107,0
108,0
109,-2
110,0
111,0
112,-0.25
113,0.5
114,-1.5
115,0
116,-0.75
117,0
118,-0.6
119,0
120,0.25
121,1.8
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,-2
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,-0.25
139,2.8
140,0
141,0
142,0.85
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,-0.6
151,0
152,0
153,0
154,0
155,0
156,0
157,-0.75
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0.5
170,-0.25
171,0
172,0
173,0
174,0
175,0
176,1.2
177,-0.1
178,0
179,0.5
180,0
181,0
182,0
183,-1
184,0
185,0
186,0
187,0
188,0
189,0
190,-1
191,-0.25
192,0
193,0
194,1.25
195,0
196,0
197,0
198,0
199,0
200,0.5
201,0
202,0
203,0
204,-1
205,0
206,0
207,0
208,0
209,0
210,0
211,-2.55
212,0
213,0
214,0
215,0
216,0
217,-0.25
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0.5
227,0
228,0
229,-2
230,-1.25
231,0.6
232,0
233,1.1
234,0
235,-0.25
236,0
237,0
238,-0.25
239,0
240,0
